checkpoint_id,replication,rollout_batch,minibatch,selection_bin,formula_split,population_sequence_ess,blocks_per_estimator,sequences_per_estimator,calibration_blocks,raw_variance_trace,ppo_variance_trace,ppo_bias_squared,ppo_bias_squared_naive,empirical_raw_bias_squared,raw_formula_mse,ppo_formula_mse,raw_minus_ppo_formula_mse,ppo_formula_reduction_pct,formula_prefers_ppo
10.0,3.0,6.0,10.0,2.0,fit,0.047291722024109105,1.0,128.0,100.0,0.05315140169068721,0.03561116728542188,0.0031102524222614645,0.003466364095115683,0.00041027853778888366,0.05315140169068721,0.03872141970768334,0.014429981983003867,27.14882679290127,1.0
10.0,3.0,6.0,10.0,2.0,fit,0.047291722024109105,2.0,256.0,100.0,0.05315140169068721,0.03561116728542188,0.0031102524222614645,0.003466364095115683,0.00041027853778888366,0.026575700845343605,0.020915836064972403,0.005659864780371202,21.29714212734631,1.0
10.0,3.0,6.0,10.0,2.0,fit,0.047291722024109105,4.0,512.0,100.0,0.05315140169068721,0.03561116728542188,0.0031102524222614645,0.003466364095115683,0.00041027853778888366,0.013287850422671802,0.012013044243616934,0.001274806179054868,9.59377279623638,1.0
10.0,3.0,6.0,10.0,2.0,fit,0.047291722024109105,8.0,1024.0,100.0,0.05315140169068721,0.03561116728542188,0.0031102524222614645,0.003466364095115683,0.00041027853778888366,0.006643925211335901,0.0075616483329391995,-0.0009177231216032982,-13.812965865983472,0.0
11.0,6.0,6.0,14.0,2.0,test,0.07322635077569153,1.0,128.0,100.0,0.15111795673264938,1.7198623495036596e-05,0.0021794401038800946,0.002179612090115045,0.0009586119132011341,0.15111795673264938,0.0021966387273751314,0.14892131800527425,98.54640786914469,1.0
11.0,6.0,6.0,14.0,2.0,test,0.07322635077569153,2.0,256.0,100.0,0.15111795673264938,1.7198623495036596e-05,0.0021794401038800946,0.002179612090115045,0.0009586119132011341,0.07555897836632469,0.0021880394156276128,0.07337093895069707,97.10419666473047,1.0
11.0,6.0,6.0,14.0,2.0,test,0.07322635077569153,4.0,512.0,100.0,0.15111795673264938,1.7198623495036596e-05,0.0021794401038800946,0.002179612090115045,0.0009586119132011341,0.037779489183162346,0.0021837397597538537,0.03559574942340849,94.21977425590204,1.0
11.0,6.0,6.0,14.0,2.0,test,0.07322635077569153,8.0,1024.0,100.0,0.15111795673264938,1.7198623495036596e-05,0.0021794401038800946,0.002179612090115045,0.0009586119132011341,0.018889744591581173,0.002181589931816974,0.016708154659764198,88.45092943824518,1.0
12.0,8.0,4.0,15.0,2.0,fit,0.04891045965014687,1.0,128.0,100.0,0.06220418122738414,0.053673415413093145,0.0021543971062704496,0.002691131260401381,0.0003774526488834326,0.06220418122738414,0.0558278125193636,0.006376368708020538,10.250707560496707,1.0
12.0,8.0,4.0,15.0,2.0,fit,0.04891045965014687,2.0,256.0,100.0,0.06220418122738414,0.053673415413093145,0.0021543971062704496,0.002691131260401381,0.0003774526488834326,0.03110209061369207,0.028991104812817022,0.002110985800875046,6.787279437562075,1.0
