checkpoint_id,selection_bin,blocks_per_estimator,sequences_per_estimator,population_sequence_ess,method,selected_ppo,agrees_with_formula_oracle,heldout_gradient_mse,evaluation_draws
17.0,3.0,4.0,512.0,0.12514345133179386,Raw,0.0,0.0,0.018764603126798743,100.0
17.0,3.0,4.0,512.0,0.12514345133179386,PPO masked,1.0,1.0,0.017096686973142705,100.0
17.0,3.0,4.0,512.0,0.12514345133179386,Formula oracle,1.0,1.0,0.017096686973142705,100.0
17.0,3.0,4.0,512.0,0.12514345133179386,Fitted ESS,1.0,1.0,0.017096686973142705,100.0
17.0,3.0,4.0,512.0,0.12514345133179386,Effective-count transfer,1.0,1.0,0.017096686973142705,100.0
17.0,3.0,4.0,512.0,0.12514345133179386,Fixed ESS 0.1,0.0,0.0,0.018764603126798743,100.0
17.0,3.0,8.0,1024.0,0.12514345133179386,Raw,0.0,0.0,0.006961416756031014,100.0
17.0,3.0,8.0,1024.0,0.12514345133179386,PPO masked,1.0,1.0,0.008240264093084072,100.0
17.0,3.0,8.0,1024.0,0.12514345133179386,Formula oracle,1.0,1.0,0.008240264093084072,100.0
17.0,3.0,8.0,1024.0,0.12514345133179386,Fitted ESS,0.0,0.0,0.006961416756031014,100.0
17.0,3.0,8.0,1024.0,0.12514345133179386,Effective-count transfer,0.0,0.0,0.006961416756031014,100.0
17.0,3.0,8.0,1024.0,0.12514345133179386,Fixed ESS 0.1,0.0,0.0,0.006961416756031014,100.0
18.0,3.0,1.0,128.0,0.11008615748349813,Raw,0.0,0.0,0.0490148625788396,100.0
18.0,3.0,1.0,128.0,0.11008615748349813,PPO masked,1.0,1.0,0.02794884102530967,100.0
18.0,3.0,1.0,128.0,0.11008615748349813,Formula oracle,1.0,1.0,0.02794884102530967,100.0
18.0,3.0,1.0,128.0,0.11008615748349813,Fitted ESS,1.0,1.0,0.02794884102530967,100.0
18.0,3.0,1.0,128.0,0.11008615748349813,Effective-count transfer,1.0,1.0,0.02794884102530967,100.0
18.0,3.0,1.0,128.0,0.11008615748349813,Fixed ESS 0.1,0.0,0.0,0.0490148625788396,100.0
18.0,3.0,2.0,256.0,0.11008615748349813,Raw,0.0,0.0,0.03696966989617493,100.0
18.0,3.0,2.0,256.0,0.11008615748349813,PPO masked,1.0,1.0,0.014866216043224847,100.0
18.0,3.0,2.0,256.0,0.11008615748349813,Formula oracle,1.0,1.0,0.014866216043224847,100.0
18.0,3.0,2.0,256.0,0.11008615748349813,Fitted ESS,1.0,1.0,0.014866216043224847,100.0
18.0,3.0,2.0,256.0,0.11008615748349813,Effective-count transfer,1.0,1.0,0.014866216043224847,100.0
18.0,3.0,2.0,256.0,0.11008615748349813,Fixed ESS 0.1,0.0,0.0,0.03696966989617493,100.0
18.0,3.0,4.0,512.0,0.11008615748349813,Raw,0.0,0.0,0.019969498011848028,100.0
18.0,3.0,4.0,512.0,0.11008615748349813,PPO masked,1.0,1.0,0.014132430987964302,100.0
18.0,3.0,4.0,512.0,0.11008615748349813,Formula oracle,1.0,1.0,0.014132430987964302,100.0
18.0,3.0,4.0,512.0,0.11008615748349813,Fitted ESS,1.0,1.0,0.014132430987964302,100.0
18.0,3.0,4.0,512.0,0.11008615748349813,Effective-count transfer,1.0,1.0,0.014132430987964302,100.0
18.0,3.0,4.0,512.0,0.11008615748349813,Fixed ESS 0.1,0.0,0.0,0.019969498011848028,100.0
18.0,3.0,8.0,1024.0,0.11008615748349813,Raw,0.0,1.0,0.014388937750989636,100.0
